Model,AUC,Accuracy,Precision,Recall,Specificity,F1-Score
XGBoost,0.8987864077669904,0.8757932910244787,0.40860215053763443,0.7378640776699029,0.89,0.5259515570934256
Random Forest,0.9042718446601943,0.9174977334542158,0.5483870967741935,0.6601941747572816,0.944,0.5991189427312775
Logistic Regression,0.8786310679611651,0.7996373526745241,0.2937062937062937,0.8155339805825242,0.798,0.4318766066838046
LightGBM,0.8750194174757283,0.9120580235720761,0.5348837209302325,0.44660194174757284,0.96,0.48677248677248675
