Model,AUC,Accuracy,Precision,Recall,Specificity,F1-Score
XGBoost,0.8751116504854369,0.8032638259292838,0.2978723404255319,0.8155339805825242,0.802,0.43636363636363634
Random Forest,0.8748106796116505,0.8585675430643699,0.36548223350253806,0.6990291262135923,0.875,0.48
Logistic Regression,0.855995145631068,0.7805983680870353,0.2721311475409836,0.8058252427184466,0.778,0.4068627450980392
LightGBM,0.8587135922330098,0.8522212148685403,0.35,0.6796116504854369,0.87,0.46204620462046203
